port,port_name,state,value,year
Port Huron,Port Huron,Michigan,6945450,2015
Detroit,Detroit,Michigan,14771277,2015
Algonac,Algonac,Michigan,0,2015
Santa Teresa,Santa Teresa,New Mexico,2091026,2015
Columbus,Columbus,New Mexico,1444114,2015
Skagway,Skagway,Alaska,403978,2015
Ketchikan,Ketchikan,Alaska,9278,2015
Alcan,Alcan,Alaska,164148,2015
Dalton Cache,Dalton Cache,Alaska,60724,2015
Toledo-Sandusky,Toledo-Sandusky,Ohio,0,2015
Calexico East,Calexico East,California,10927817,2014
Otay Mesa,Otay Mesa,California,24221610,2014
San Ysidro,San Ysidro,California,41535749,2014
Tecate,Tecate,California,3255486,2014
Calexico,Calexico,California,15860527,2014
Andrade,Andrade,California,2165243,2014
Cross Border Xpress,Cross Border Xpress,California,0,2014
Van Buren,Van Buren,Maine,650932,2014
Madawaska,Madawaska,Maine,1310257,2014
Vanceboro,Vanceboro,Maine,126881,2014
Calais,Calais,Maine,2576889,2014
Houlton,Houlton,Maine,1134744,2014
Fort Fairfield,Fort Fairfield,Maine,427885,2014
Bridgewater,Bridgewater,Maine,222329,2014
Fort Kent,Fort Kent,Maine,475912,2014
Jackman,Jackman,Maine,627547,2014
Limestone,Limestone,Maine,88689,2014
Eastport,Eastport,Maine,386630,2014
Portland,Portland,Maine,22118,2014
Bar Harbor,Bar Harbor,Maine,0,2014
Nogales,Nogales,Arizona,13854983,2014
Naco,Naco,Arizona,914353,2014
